id,title,context,question,answer_text,answer_start
shopee_qa_004,Shopee Pick Up,"Untuk SPX Express, parcel mesti 20kg atau kurang untuk diambil. Hanya tersedia di Semenanjung Malaysia sahaja.",Apakah syarat untuk menggunakan kaedah pick up (kutipan) dengan SPX Express?,"Untuk SPX Express, parcel mesti 20kg atau kurang untuk diambil. Hanya tersedia di Semenanjung Malaysia sahaja.",0
shopee_qa_005,Shopee Self Arrange,"Harap maklum bahawa untuk kaedah pemulangan ini, anda perlu menanggung kos penghantaran pemulangan terlebih dahulu. Walau bagaimanapun, anda boleh mengemukakan tuntutan kepada Shopee untuk mendapatkan bayaran balik kos penghantaran setelah pemulangan diproses.",Apakah yang perlu saya ketahui tentang kaedah self arrange untuk pemulangan di Shopee?,"Harap maklum bahawa untuk kaedah pemulangan ini, anda perlu menanggung kos penghantaran pemulangan terlebih dahulu. Walau bagaimanapun, anda boleh mengemukakan tuntutan kepada Shopee untuk mendapatkan bayaran balik kos penghantaran setelah pemulangan diproses.",0
shopee_qa_006,Shopee Pulangan Keadaan Asal,"Mulai 06 Disember 2024, anda boleh memohon pulangan/bayaran balik dengan sebab - 'Ingin memulangkan barang dalam keadaan asal / masih belum dibuka' bagi semua kategori di Shopee.",Bolehkah saya buat permohonan pulangan/bayaran balik jika saya ingin memulangkan barang dalam keadaan asal di Shopee?,"Mulai 06 Disember 2024, anda boleh memohon pulangan/bayaran balik dengan sebab - 'Ingin memulangkan barang dalam keadaan asal / masih belum dibuka' bagi semua kategori di Shopee.",0
shopee_qa_007,Shopee Cara Pulangan Keadaan Asal,"Langkah 1: Pergi ke tab Saya
Langkah 2: Pilih Untuk Diterima
Langkah 3: Pilih Pesanan
Langkah 4: Klik pada butang Pulangan/Bayaran Balik
Langkah 5: Pilih alasan ""Lain-lain"" untuk alasan pemulangan/pemulangan wang anda
Langkah 6: Pilih Ingin memulangkan barang dalam keadaan asal / masih belum dibuka
Langkah 7: Klik pada Sah
Langkah 8: Huraikan permintaan anda (tidak wajib) dan sediakan foto/video
Langkah 9: Klik pada Hantar",Bagaimanakah cara untuk membuat permohonan pulangan/bayaran balik dengan alasan 'Ingin memulangkan barang dalam keadaan asal'?,"Langkah 1: Pergi ke tab Saya
Langkah 2: Pilih Untuk Diterima
Langkah 3: Pilih Pesanan
Langkah 4: Klik pada butang Pulangan/Bayaran Balik
Langkah 5: Pilih alasan ""Lain-lain"" untuk alasan pemulangan/pemulangan wang anda
Langkah 6: Pilih Ingin memulangkan barang dalam keadaan asal / masih belum dibuka
Langkah 7: Klik pada Sah
Langkah 8: Huraikan permintaan anda (tidak wajib) dan sediakan foto/video
Langkah 9: Klik pada Hantar",0
shopee_qa_008,Shopee Kos Penghantaran Pulangan,"Bukan itu sahaja! Dengan alasan 'Ingin memulangkan barang dalam keadaan asal/masih belum dibuka', anda tidak perlu menanggung sebarang kos penghantaran.",Adakah saya perlu menanggung kos penghantaran untuk pemulangan dengan alasan 'Ingin memulangkan barang dalam keadaan asal'?,"Dengan alasan 'Ingin memulangkan barang dalam keadaan asal/masih belum dibuka', anda tidak perlu menanggung sebarang kos penghantaran.",17
shopee_qa_009,Shopee Barangan Layak Pulangan,Barangan yang layak untuk pulangan 'Ingin memulangkan barang dalam keadaan asal / masih belum dibuka' disenaraikan sebagai 15 Hari Pemulangan Percuma tanpa simbol berbentuk bintang (*) manakala barangan yang tidak layak akan disenaraikan sebagai 15 Hari Pemulangan Percuma*.,Bagaimanakah cara untuk mengenal pasti barangan yang layak untuk pulangan 'Ingin memulangkan barang dalam keadaan asal'?,Barangan yang layak untuk pulangan 'Ingin memulangkan barang dalam keadaan asal / masih belum dibuka' disenaraikan sebagai 15 Hari Pemulangan Percuma tanpa simbol berbentuk bintang (*) manakala barangan yang tidak layak akan disenaraikan sebagai 15 Hari Pemulangan Percuma*.,0
shopee_qa_010,Shopee Syarat Pulangan,"Untuk pulangan/bayaran balik yang lancar, pastikan perkara berikut dipenuhi:
* Label/tag/meterai asal tidak ditanggalkan
* Produk di bawah Kategori Elektronik hendaklah TIDAK DIBUKA (meterai tidak dikoyak, diusik atau diubah) dan dalam KEADAAN BOLEH DIPERJUALBELI (iaitu, Produk TIDAK mempunyai tanda-tanda: penggunaan, kesan barang dipakai sepeti haus, lusuh dan kemik atau sebarang kerosakan) untuk dianggap layak untuk pulangan 'Ingin memulangkan barang dalam keadaan asal / masih belum dibuka'.
* Produk dipulangkan dalam set/kuantiti lengkap
* Nombor siri tidak ditanggalkan
* Produk belum dipasang dan dinyahpasang (cth: meterai haba tidak ditanggalkan atau produk belum diasingkan)
* Produk tidak dikelaskan sebagai bahan berbahaya atau menggunakan cecair/gas mudah terbakar
* Produk ini bukan produk khusus seperti kotak misteri, kotak kejutan, kotak jenama, produk tersuai atau produk yang dibuat mengikut tempahan",Apakah syarat-syarat yang perlu dipenuhi untuk pulangan/bayaran balik yang lancar di Shopee?,"Untuk pulangan/bayaran balik yang lancar, pastikan perkara berikut dipenuhi:
* Label/tag/meterai asal tidak ditanggalkan
* Produk di bawah Kategori Elektronik hendaklah TIDAK DIBUKA (meterai tidak dikoyak, diusik atau diubah) dan dalam KEADAAN BOLEH DIPERJUALBELI (iaitu, Produk TIDAK mempunyai tanda-tanda: penggunaan, kesan barang dipakai sepeti haus, lusuh dan kemik atau sebarang kerosakan) untuk dianggap layak untuk pulangan 'Ingin memulangkan barang dalam keadaan asal / masih belum dibuka'.
* Produk dipulangkan dalam set/kuantiti lengkap
* Nombor siri tidak ditanggalkan
* Produk belum dipasang dan dinyahpasang (cth: meterai haba tidak ditanggalkan atau produk belum diasingkan)
* Produk tidak dikelaskan sebagai bahan berbahaya atau menggunakan cecair/gas mudah terbakar
* Produk ini bukan produk khusus seperti kotak misteri, kotak kejutan, kotak jenama, produk tersuai atau produk yang dibuat mengikut tempahan",0
shopee_qa_011,Shopee Pilihan Pembayaran,"Berikut adalah 10 pilihan pembayaran yang boleh digunakan: 
1. Pembayaran Tunai di Kedai Runcit
2. Bayar Waktu Terima (COD)
3. Kad kredit/Debit
4. Maybank2u
5. Perbankan Atas Talian
6. ShopeePay
7. Ansuran Kad Kredit
8. SPayLater
9. Google Pay
10. Apple Pay",Apakah pilihan pembayaran yang boleh digunakan untuk pembayaran di Shopee?,"Berikut adalah 10 pilihan pembayaran yang boleh digunakan: 
1. Pembayaran Tunai di Kedai Runcit
2. Bayar Waktu Terima (COD)
3. Kad kredit/Debit
4. Maybank2u
5. Perbankan Atas Talian
6. ShopeePay
7. Ansuran Kad Kredit
8. SPayLater
9. Google Pay
10. Apple Pay",0
shopee_qa_012,Shopee Pembayaran Tunai,"Pembayaran pesanan boleh dilakukan melalui 7-Eleven dan KK Mart di seluruh Malaysia. Anda hanya boleh membuat pembayaran di kedai serbaneka ini jika jumlah pembayaran antara RM1.10 dan RM1,500.",Bagaimanakah cara untuk membayar dengan Pembayaran Tunai di Kedai Runcit?,"Pembayaran pesanan boleh dilakukan melalui 7-Eleven dan KK Mart di seluruh Malaysia. Anda hanya boleh membuat pembayaran di kedai serbaneka ini jika jumlah pembayaran antara RM1.10 dan RM1,500.",0
shopee_qa_013,Shopee COD,"Kawasan yang boleh dihantar menggunakan Cash on Delivery di bawah saluran penghantaran yang berkenaan adalah seperti berikut:
| Saluran Penghantaran | Kawasan |
|---------------------|---------|   
| | Semenanjung | Sabah dan Sarawak |
| PosLaju | Semua Negeri | Poskod terpilih |
| DHL eCommerce | | |
| Ninja Van | | |
| SPX Express | Semenanjung | |
| Flash Express | | |",Apakah kawasan yang boleh dihantar menggunakan Cash on Delivery (COD) di Shopee?,"Untuk PosLaju, DHL eCommerce, dan Ninja Van, perkhidmatan COD tersedia di semua negeri di Semenanjung dan poskod terpilih di Sabah dan Sarawak. Untuk SPX Express dan Flash Express, perkhidmatan ini hanya tersedia di Semenanjung.",0
shopee_qa_014,Shopee ShopeePay,ShopeePay adalah dompet digital dalam Aplikasi Shopee. Gunakannya untuk membayar pembelian dalam talian dan luar talian setelah anda mengaktifkan akaun ShopeePay dan menambah baki anda.,Apakah ShopeePay dan bagaimana ia berfungsi?,ShopeePay adalah dompet digital dalam Aplikasi Shopee. Gunakannya untuk membayar pembelian dalam talian dan luar talian setelah anda mengaktifkan akaun ShopeePay dan menambah baki anda.,0
shopee_qa_015,Shopee Ansuran,Kaedah pembayaran pelan ansuran hanya boleh dibuat dengan kad kredit Maybank / Public Bank / CIMB dengan jumlah checkout gabungan lebih daripada RM500 dengan penjual yang layak.,Apakah syarat untuk membayar menggunakan pelan ansuran di Shopee?,Kaedah pembayaran pelan ansuran hanya boleh dibuat dengan kad kredit Maybank / Public Bank / CIMB dengan jumlah checkout gabungan lebih daripada RM500 dengan penjual yang layak.,0
