question,ground_truth,contexts
Bagaimana cara untuk melaporkan masalah dengan penjual?,Anda boleh melaporkan masalah melalui fungsi 'Laporkan Penjual' di halaman kedai penjual.,"[""Jika anda menghadapi masalah dengan penjual, anda boleh melaporkannya melalui fungsi 'Laporkan Penjual' yang terdapat di halaman kedai penjual. Pasukan kami akan menyiasat aduan anda dengan segera. Sila berikan butiran yang jelas dan bukti yang relevan.""]"
Apakah polisi privasi data pengguna?,Data pengguna dilindungi mengikut undang-undang privasi data tempatan dan tidak akan dikongsi dengan pihak ketiga tanpa kebenaran.,['Data peribadi pengguna kami dilindungi dengan ketat mengikut undang-undang privasi data tempatan yang berkuat kuasa. Kami tidak akan berkongsi maklumat anda dengan pihak ketiga tanpa kebenaran jelas anda. Polisi ini memastikan kerahsiaan dan keselamatan data anda. Kami menggunakan enkripsi untuk semua transaksi.']
Adakah platform menawarkan penghantaran antarabangsa?,"Ya, platform menawarkan penghantaran antarabangsa ke negara-negara terpilih dengan caj tambahan.","['Ya, platform kami dengan bangganya menawarkan penghantaran antarabangsa ke beberapa negara terpilih di seluruh dunia. Sila ambil perhatian bahawa caj tambahan untuk penghantaran dan duti import mungkin dikenakan. Anda boleh menyemak senarai negara yang disokong di bahagian Soalan Lazim kami.']"
Berapakah had pembelian maksimum untuk setiap transaksi?,"Had pembelian maksimum adalah RM5,000 untuk setiap transaksi.","['Had pembelian maksimum untuk setiap transaksi di platform kami adalah RM5,000. Ini adalah untuk memastikan keselamatan transaksi dan mengurangkan risiko penipuan. Jika anda ingin membuat pembelian yang lebih besar, anda mungkin perlu membahagikannya kepada beberapa transaksi. Had ini mungkin berbeza untuk kaedah pembayaran tertentu.']"
Bagaimana saya boleh mengesan status pesanan saya?,Anda boleh mengesan status pesanan melalui halaman 'Pesanan Saya' dalam aplikasi.,"[""Anda boleh mengesan status pesanan anda dengan mudah melalui halaman 'Pesanan Saya' dalam aplikasi. Kemas kini status akan diberikan secara berkala dari saat pesanan disahkan hingga penghantaran. Anda juga akan menerima notifikasi melalui e-mel atau SMS.""]"
Apakah yang perlu saya lakukan jika menerima item yang salah?,Laporkan item yang salah kepada sokongan pelanggan dalam masa 24 jam selepas penerimaan.,"['Jika anda menerima item yang salah, sila laporkan kepada sokongan pelanggan kami dalam masa 24 jam selepas penerimaan. Sila sertakan gambar item yang diterima dan butiran pesanan anda. Kami akan mengaturkan penggantian atau bayaran balik secepat mungkin. Jangan buang pembungkusan asal.']"
Adakah saya perlu membayar untuk pemulangan barang?,"Kos pemulangan barang ditanggung oleh pembeli, kecuali jika pemulangan disebabkan oleh kesalahan penjual atau kerosakan produk.","['Kos pemulangan barang biasanya ditanggung oleh pembeli. Walau bagaimanapun, jika pemulangan disebabkan oleh kesalahan penjual, seperti penghantaran produk yang rosak atau salah, kos pemulangan akan ditanggung oleh penjual atau platform. Sila semak polisi pemulangan untuk butiran lanjut.']"
Bolehkah saya menukar produk yang dibeli?,Penukaran produk adalah tertakluk kepada ketersediaan stok dan polisi penjual.,['Penukaran produk yang dibeli adalah tertakluk kepada ketersediaan stok dan polisi penukaran penjual individu. Tidak semua penjual menawarkan penukaran. Sila hubungi penjual secara langsung atau rujuk polisi kedai mereka sebelum membuat permintaan penukaran. Penukaran biasanya hanya untuk saiz atau warna yang sama.']
Bagaimana cara untuk menghubungi sokongan pelanggan?,Sokongan pelanggan boleh dihubungi melalui sembang langsung dalam aplikasi atau e-mel.,['Anda boleh menghubungi pasukan sokongan pelanggan kami melalui sembang langsung yang tersedia dalam aplikasi atau dengan menghantar e-mel kepada kami. Pasukan kami bersedia untuk membantu anda dengan sebarang pertanyaan atau masalah. Kami berusaha untuk memberikan respons yang cepat dan berkesan.']
Apakah waktu operasi sokongan pelanggan?,"Sokongan pelanggan beroperasi dari jam 9 pagi hingga 6 petang, Isnin hingga Jumaat.","['Pasukan sokongan pelanggan kami beroperasi dari jam 9 pagi hingga 6 petang, Isnin hingga Jumaat, tidak termasuk cuti umum. Kami berusaha untuk menjawab semua pertanyaan dalam tempoh 24 jam bekerja. Untuk pertanyaan di luar waktu operasi, sila hantar e-mel dan kami akan membalas secepat mungkin.']"
Adakah saya boleh menggunakan kod promosi yang telah luput?,Kod promosi yang telah luput tidak boleh digunakan.,"['Kod promosi yang telah luput tidak boleh digunakan untuk sebarang pembelian. Sila pastikan anda menggunakan kod promosi sebelum tarikh luputnya. Kami sering menawarkan promosi baharu, jadi sentiasa semak bahagian promosi kami untuk tawaran terkini. Setiap kod promosi mempunyai terma dan syaratnya sendiri.']"
Bagaimana cara untuk mendapatkan invois pembelian?,Invois pembelian boleh dimuat turun dari halaman butiran pesanan setelah pembayaran disahkan.,['Invois pembelian anda boleh dimuat turun dengan mudah dari halaman butiran pesanan anda setelah pembayaran disahkan dan pesanan anda diproses. Ini adalah penting untuk rekod anda atau untuk tujuan pemulangan. Invois akan tersedia dalam format PDF untuk dicetak atau disimpan.']
Apakah polisi jaminan untuk produk elektronik?,Produk elektronik biasanya disertakan dengan jaminan pengeluar selama 1 tahun.,"['Produk elektronik yang dibeli melalui platform kami biasanya disertakan dengan jaminan pengeluar standard selama 1 tahun. Tempoh jaminan ini melindungi anda daripada kerosakan pembuatan. Sila simpan invois pembelian anda sebagai bukti jaminan. Untuk tuntutan jaminan, sila hubungi pusat servis pengeluar.']"
Bolehkah saya mengubah suai maklumat akaun saya?,Anda boleh mengubah suai maklumat akaun seperti nama dan nombor telefon melalui tetapan profil.,"['Anda boleh mengubah suai maklumat akaun anda, seperti nama, nombor telefon, dan alamat e-mel, melalui tetapan profil dalam aplikasi. Pastikan maklumat anda sentiasa terkini untuk pengalaman membeli-belah yang lancar. Untuk perubahan sensitif seperti kata laluan, pengesahan tambahan mungkin diperlukan.']"
Adakah platform mengenakan yuran langganan?,"Platform tidak mengenakan yuran langganan asas, tetapi mungkin ada yuran untuk perkhidmatan premium.","['Platform kami tidak mengenakan yuran langganan asas untuk penggunaan perkhidmatan. Walau bagaimanapun, mungkin terdapat yuran untuk perkhidmatan premium tertentu atau ciri-ciri tambahan yang ditawarkan. Semua yuran akan dinyatakan dengan jelas sebelum anda melanggan mana-mana perkhidmatan berbayar. Kebanyakan ciri adalah percuma.']"
Bagaimana cara untuk memadam akaun saya?,"Anda boleh memadam akaun anda melalui tetapan akaun, tetapi semua data akan dipadam secara kekal.","['Anda boleh memadam akaun anda pada bila-bila masa melalui tetapan akaun anda. Sila ambil perhatian bahawa setelah akaun dipadam, semua data yang berkaitan, termasuk sejarah pesanan dan mata ganjaran, akan dipadam secara kekal dan tidak boleh dipulihkan. Pertimbangkan dengan teliti sebelum meneruskan.']"
Apakah polisi harga terbaik yang ditawarkan?,"Platform sentiasa berusaha menawarkan harga yang kompetitif, tetapi tiada jaminan harga terbaik.","['Platform kami sentiasa berusaha untuk menawarkan harga yang paling kompetitif kepada pengguna kami. Walau bagaimanapun, kami tidak dapat menjamin polisi harga terbaik kerana harga boleh berubah mengikut pasaran dan promosi penjual. Kami menggalakkan anda untuk membandingkan harga sebelum membuat pembelian. Harga mungkin berbeza antara penjual.']"
Adakah saya perlu mendaftar untuk membuat pembelian?,"Ya, pendaftaran akaun adalah wajib untuk membuat pembelian di platform.","['Ya, pendaftaran akaun adalah wajib untuk membuat pembelian di platform kami. Ini membolehkan kami menguruskan pesanan anda, menyediakan sokongan pelanggan, dan memastikan pengalaman membeli-belah yang selamat. Proses pendaftaran adalah mudah dan cepat. Anda boleh mendaftar menggunakan e-mel atau nombor telefon.']"
Berapa lama masa yang diambil untuk penghantaran standard?,Penghantaran standard mengambil masa 3 hingga 7 hari bekerja bergantung pada lokasi.,['Penghantaran standard biasanya mengambil masa antara 3 hingga 7 hari bekerja. Tempoh ini bergantung pada lokasi penghantaran dan ketersediaan produk. Sila ambil perhatian bahawa kelewatan mungkin berlaku semasa musim puncak atau cuti umum. Anda boleh menyemak anggaran tarikh penghantaran di halaman produk.']
