question,ground_truth,contexts
Bagaimanakah cara untuk menghantar bungkusan pulangan saya di platform?,"Setelah permohonan pulangan anda diluluskan, anda dikehendaki memilih kaedah penghantaran pulangan yang anda inginkan dalam masa 2 hari dan memulangkan item kepada penjual dalam masa 6 hari berikutnya.","['Setelah permohonan pulangan anda diluluskan, anda dikehendaki memilih kaedah penghantaran pulangan yang anda inginkan dalam masa 2 hari dan memulangkan item kepada penjual dalam masa 6 hari berikutnya.']"
Apakah kaedah-kaedah pemulangan yang tersedia di platform?,"1. Kaedah drop off (penyerahan)
2. Kaedah pick up (kutipan)
3. Kaedah self arrange",['1. Kaedah drop off (penyerahan)\n2. Kaedah pick up (kutipan)\n3. Kaedah self arrange']
Bagaimanakah cara untuk memulangkan bungkusan melalui kaedah drop off di platform?,"Anda boleh memulangkan bungkusan anda dengan mudah dengan menghantarnya ke mana-mana rakan logistik platform Free Return iaitu SPX Express, Flash Express atau PosLaju.","['Anda boleh memulangkan bungkusan anda dengan mudah dengan menghantarnya ke mana-mana rakan logistik platform Free Return iaitu SPX Express, Flash Express atau PosLaju.']"
Apakah syarat untuk menggunakan kaedah pick up (kutipan) dengan SPX Express?,"Untuk SPX Express, parcel mesti 20kg atau kurang untuk diambil. Hanya tersedia di Semenanjung Malaysia sahaja.","['Untuk SPX Express, parcel mesti 20kg atau kurang untuk diambil. Hanya tersedia di Semenanjung Malaysia sahaja.']"
Apakah yang perlu saya ketahui tentang kaedah self arrange untuk pemulangan di platform?,"Harap maklum bahawa untuk kaedah pemulangan ini, anda perlu menanggung kos penghantaran pemulangan terlebih dahulu. Walau bagaimanapun, anda boleh mengemukakan tuntutan kepada platform untuk mendapatkan bayaran balik kos penghantaran setelah pemulangan diproses.","['Harap maklum bahawa untuk kaedah pemulangan ini, anda perlu menanggung kos penghantaran pemulangan terlebih dahulu. Walau bagaimanapun, anda boleh mengemukakan tuntutan kepada platform untuk mendapatkan bayaran balik kos penghantaran setelah pemulangan diproses.']"
Bolehkah saya buat permohonan pulangan/bayaran balik jika saya ingin memulangkan barang dalam keadaan asal di platform?,"Mulai 06 Disember 2024, anda boleh memohon pulangan/bayaran balik dengan sebab - 'Ingin memulangkan barang dalam keadaan asal / masih belum dibuka' bagi semua kategori di platform.","[""Mulai 06 Disember 2024, anda boleh memohon pulangan/bayaran balik dengan sebab - 'Ingin memulangkan barang dalam keadaan asal / masih belum dibuka' bagi semua kategori di platform.""]"
Bagaimanakah cara untuk membuat permohonan pulangan/bayaran balik dengan alasan 'Ingin memulangkan barang dalam keadaan asal'?,"Langkah 1: Pergi ke tab Saya
Langkah 2: Pilih Untuk Diterima
Langkah 3: Pilih Pesanan
Langkah 4: Klik pada butang Pulangan/Bayaran Balik
Langkah 5: Pilih alasan ""Lain-lain"" untuk alasan pemulangan/pemulangan wang anda
Langkah 6: Pilih Ingin memulangkan barang dalam keadaan asal / masih belum dibuka
Langkah 7: Klik pada Sah
Langkah 8: Huraikan permintaan anda (tidak wajib) dan sediakan foto/video
Langkah 9: Klik pada Hantar","['Langkah 1: Pergi ke tab Saya\nLangkah 2: Pilih Untuk Diterima\nLangkah 3: Pilih Pesanan\nLangkah 4: Klik pada butang Pulangan/Bayaran Balik\nLangkah 5: Pilih alasan ""Lain-lain"" untuk alasan pemulangan/pemulangan wang anda\nLangkah 6: Pilih Ingin memulangkan barang dalam keadaan asal / masih belum dibuka\nLangkah 7: Klik pada Sah\nLangkah 8: Huraikan permintaan anda (tidak wajib) dan sediakan foto/video\nLangkah 9: Klik pada Hantar']"
Adakah saya perlu menanggung kos penghantaran untuk pemulangan dengan alasan 'Ingin memulangkan barang dalam keadaan asal'?,"Dengan alasan 'Ingin memulangkan barang dalam keadaan asal/masih belum dibuka', anda tidak perlu menanggung sebarang kos penghantaran.","[""Bukan itu sahaja! Dengan alasan 'Ingin memulangkan barang dalam keadaan asal/masih belum dibuka', anda tidak perlu menanggung sebarang kos penghantaran.""]"
Bagaimanakah cara untuk mengenal pasti barangan yang layak untuk pulangan 'Ingin memulangkan barang dalam keadaan asal'?,Barangan yang layak untuk pulangan 'Ingin memulangkan barang dalam keadaan asal / masih belum dibuka' disenaraikan sebagai 15 Hari Pemulangan Percuma tanpa simbol berbentuk bintang (*) manakala barangan yang tidak layak akan disenaraikan sebagai 15 Hari Pemulangan Percuma*.,"[""Barangan yang layak untuk pulangan 'Ingin memulangkan barang dalam keadaan asal / masih belum dibuka' disenaraikan sebagai 15 Hari Pemulangan Percuma tanpa simbol berbentuk bintang (*) manakala barangan yang tidak layak akan disenaraikan sebagai 15 Hari Pemulangan Percuma*.""]"
Apakah syarat-syarat yang perlu dipenuhi untuk pulangan/bayaran balik yang lancar di platform?,"Untuk pulangan/bayaran balik yang lancar, pastikan perkara berikut dipenuhi:
* Label/tag/meterai asal tidak ditanggalkan
* Produk di bawah Kategori Elektronik hendaklah TIDAK DIBUKA (meterai tidak dikoyak, diusik atau diubah) dan dalam KEADAAN BOLEH DIPERJUALBELI (iaitu, Produk TIDAK mempunyai tanda-tanda: penggunaan, kesan barang dipakai sepeti haus, lusuh dan kemik atau sebarang kerosakan) untuk dianggap layak untuk pulangan 'Ingin memulangkan barang dalam keadaan asal / masih belum dibuka'.
* Produk dipulangkan dalam set/kuantiti lengkap
* Nombor siri tidak ditanggalkan
* Produk belum dipasang dan dinyahpasang (cth: meterai haba tidak ditanggalkan atau produk belum diasingkan)
* Produk tidak dikelaskan sebagai bahan berbahaya atau menggunakan cecair/gas mudah terbakar
* Produk ini bukan produk khusus seperti kotak misteri, kotak kejutan, kotak jenama, produk tersuai atau produk yang dibuat mengikut tempahan","[""Untuk pulangan/bayaran balik yang lancar, pastikan perkara berikut dipenuhi:\n* Label/tag/meterai asal tidak ditanggalkan\n* Produk di bawah Kategori Elektronik hendaklah TIDAK DIBUKA (meterai tidak dikoyak, diusik atau diubah) dan dalam KEADAAN BOLEH DIPERJUALBELI (iaitu, Produk TIDAK mempunyai tanda-tanda: penggunaan, kesan barang dipakai sepeti haus, lusuh dan kemik atau sebarang kerosakan) untuk dianggap layak untuk pulangan 'Ingin memulangkan barang dalam keadaan asal / masih belum dibuka'.\n* Produk dipulangkan dalam set/kuantiti lengkap\n* Nombor siri tidak ditanggalkan\n* Produk belum dipasang dan dinyahpasang (cth: meterai haba tidak ditanggalkan atau produk belum diasingkan)\n* Produk tidak dikelaskan sebagai bahan berbahaya atau menggunakan cecair/gas mudah terbakar\n* Produk ini bukan produk khusus seperti kotak misteri, kotak kejutan, kotak jenama, produk tersuai atau produk yang dibuat mengikut tempahan""]"
Apakah pilihan pembayaran yang boleh digunakan untuk pembayaran di platform?,"Berikut adalah 10 pilihan pembayaran yang boleh digunakan: 
1. Pembayaran Tunai di Kedai Runcit
2. Bayar Waktu Terima (COD)
3. Kad kredit/Debit
4. Maybank2u
5. Perbankan Atas Talian
6. e-wallet
7. Ansuran Kad Kredit
8. SPayLater
9. Google Pay
10. Apple Pay",['Berikut adalah 10 pilihan pembayaran yang boleh digunakan: \n1. Pembayaran Tunai di Kedai Runcit\n2. Bayar Waktu Terima (COD)\n3. Kad kredit/Debit\n4. Maybank2u\n5. Perbankan Atas Talian\n6. e-wallet\n7. Ansuran Kad Kredit\n8. SPayLater\n9. Google Pay\n10. Apple Pay']
Bagaimanakah cara untuk membayar dengan Pembayaran Tunai di Kedai Runcit?,"Pembayaran pesanan boleh dilakukan melalui 7-Eleven dan KK Mart di seluruh Malaysia. Anda hanya boleh membuat pembayaran di kedai serbaneka ini jika jumlah pembayaran antara RM1.10 dan RM1,500.","['Pembayaran pesanan boleh dilakukan melalui 7-Eleven dan KK Mart di seluruh Malaysia. Anda hanya boleh membuat pembayaran di kedai serbaneka ini jika jumlah pembayaran antara RM1.10 dan RM1,500.']"
Apakah kawasan yang boleh dihantar menggunakan Cash on Delivery (COD) di platform?,"Untuk PosLaju, DHL eCommerce, dan Ninja Van, perkhidmatan COD tersedia di semua negeri di Semenanjung dan poskod terpilih di Sabah dan Sarawak. Untuk SPX Express dan Flash Express, perkhidmatan ini hanya tersedia di Semenanjung.",['Kawasan yang boleh dihantar menggunakan Cash on Delivery di bawah saluran penghantaran yang berkenaan adalah seperti berikut:\n| Saluran Penghantaran | Kawasan |\n|---------------------|---------|   \n| | Semenanjung | Sabah dan Sarawak |\n| PosLaju | Semua Negeri | Poskod terpilih |\n| DHL eCommerce | | |\n| Ninja Van | | |\n| SPX Express | Semenanjung | |\n| Flash Express | | |']
Apakah e-wallet dan bagaimana ia berfungsi?,e-wallet adalah dompet digital dalam Aplikasi platform. Gunakannya untuk membayar pembelian dalam talian dan luar talian setelah anda mengaktifkan akaun e-wallet dan menambah baki anda.,['e-wallet adalah dompet digital dalam Aplikasi platform. Gunakannya untuk membayar pembelian dalam talian dan luar talian setelah anda mengaktifkan akaun e-wallet dan menambah baki anda.']
Apakah syarat untuk membayar menggunakan pelan ansuran di platform?,Kaedah pembayaran pelan ansuran hanya boleh dibuat dengan kad kredit Maybank / Public Bank / CIMB dengan jumlah checkout gabungan lebih daripada RM500 dengan penjual yang layak.,['Kaedah pembayaran pelan ansuran hanya boleh dibuat dengan kad kredit Maybank / Public Bank / CIMB dengan jumlah checkout gabungan lebih daripada RM500 dengan penjual yang layak.']
